,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars
291,291,hotcakes mcdonalds,113,2.9,0.6,0.6,1.5,19,4.4
292,292,chicken crispy breast kentucky fried chicken,375,23.2,5,7.6,8.8,11.9,0
293,293,hotcakes sausage mcdonalds,776,34.9,7.3,9,6.5,102.4,45.7
294,294,chicken mcnuggets mcdonalds,48,3.2,0.5,1.3,0.9,2.4,0.025
295,295,chips chipotle,151,7.1,0.9,19.3,1.1,2.1,2.1
296,296,biscuit mcdonalds,261,12.2,7,2.8,1.7,33.3,2.2
297,297,rice bowl with chicken,36,0.4,0.010,0.1,0.1,6.4,1.2
298,298,spaghetti with meatballs,200,8.2,2.9,3.3,1.1,22.9,5.8
299,299,meat ravioli canned,259,8.9,3.7,4.2,0.6,36,6.3
300,300,cheese ravioli canned,186,3.5,1.7,1,0.4,33,9
301,301,premium crispy chicken ranch blt sandwich mcdonalds,586,22.9,4.7,9.1,7.8,59.8,13.3
302,302,steak sandwich,459,14.1,3.8,5.3,3.3,52,0
303,303,cheeseburger burger king,380,19.7,9.1,7.6,2,31.5,6
304,304,cheeseburger mcdonalds,313,14,5.3,4.3,0.4,33.1,7.4
305,305,double cheeseburger,643,36.9,15.9,13.7,3,41,9.5
306,306,double hamburger,942,58.6,21.6,22.9,11.3,51.4,13.2
307,307,premium grilled chicken classic sandwich mcdonalds,366,8.6,1.7,2.3,4.1,44.6,10
308,308,big n tasty with cheese mcdonalds,573,36,10.8,10.7,7.1,39.7,9.5
309,309,premium grilled chicken club sandwich mcdonalds,493,18,6.4,5.6,4.8,44.3,6.4
310,310,quarter pounder mcdonalds,417,19.8,6.9,7.2,0.5,37.9,8.8
311,311,premium crispy chicken classic sandwich mcdonalds,524,20,3.2,7.3,8.5,58.6,12.4
312,312,veggie burger,124,4.4,1,1.2,1.4,10,0.7
313,313,quarter pounder with cheese mcdonalds,513,28.3,11.2,9.2,0.9,39.7,9.8
314,314,beef sandwich steak raw,173,15.1,6.5,6.2,0.3,0,0
315,315,cheeseburger,292,13.2,6,5.1,1.4,28.7,5.9
316,316,premium grilled chicken ranch blt sandwich mcdonalds,412,10.9,3,3.8,3.4,44.3,10.5
317,317,double whopper with cheese burger king,1061,68.1,27.9,25.1,11.9,53.9,14.4
318,318,big mac mcdonalds,563,32.8,8.3,7.6,0.7,44,8.7
