food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,food_category,Protein,Dietary Fiber,Sodium,Cholesterol,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,is_vegan,is_vegetarian,is_eggetarian,is_non_veg,is_high_protein,is_low_carb,is_high_fiber,protein_per_cal,fiber_per_cal,sugar_per_cal,fat_per_cal
black eyed cowpeas raw,131,0.5,0.1,0.003,0.2,27.3,4.4,Fruits & Produce,4.3,7.3,0.048,0.0,111.9,0.0,0.2,0.2,0.0,0.2,2.1,0.2,0.086,3.6,0.0,0.0,0.0,182.7,0.2,1.6,74.0,0.8,76.9,625.0,0.099,1.5,227.3,True,True,True,False,False,False,True,0.13129770992366413,5.572519083969466,0.13435114503816795,0.03435114503816794
edamame cooked,189,8.1,1.0,2.0,3.3,13.8,3.4,Fruits & Produce,18.5,8.1,0.034,0.0,112.8,0.053,0.0,0.3,0.5,0.0,0.2,1.4,0.6,0.2,9.5,0.0,1.1,0.041,97.7,0.5,3.5,99.2,1.6,262.0,675.8,0.0,49.248,True,True,True,False,True,False,True,0.3915343915343915,4.285714285714286,0.07195767195767196,0.3857142857142857
black eyed cowpeas cooked,160,0.6,0.2,0.1,0.3,33.5,5.3,Fruits & Produce,5.2,8.3,0.036,0.0,124.5,0.0,0.0,0.2,0.2,0.0,0.2,2.3,0.3,0.1,3.6,0.0,0.4,0.0,211.2,0.2,1.8,85.8,0.9,84.2,689.7,0.033,47.9,True,True,True,False,False,False,True,0.13,5.187500000000001,0.1325,0.033749999999999995
hyacinth beans cooked,227,1.1,0.2,0.076,0.5,40.2,0.0,Fruits & Produce,15.8,0.0,0.0,0.0,0.003,134.1,0.0,0.5,0.023,0.0,0.001,0.8,0.6,0.014,0.0,0.0,0.0,0.0,77.6,0.7,8.9,159.1,0.9,232.8,653.8,0.021,191.981,True,True,True,False,True,False,False,0.2784140969162996,0.0,0.0,0.04361233480176212
cowpeas canned,185,1.3,0.3,0.1,0.6,32.7,0.0,Fruits & Produce,11.4,7.9,0.7,0.0,191.1,0.0,0.2,0.1,0.0,0.2,0.8,0.5,0.1,6.5,0.0,0.0,0.0,48.0,0.3,2.3,67.2,0.7,168.0,412.8,0.061,1.7,110.1,True,True,True,False,True,False,True,0.2464864864864865,4.27027027027027,0.0,0.06324324324324325
pinto beans cooked,245,1.1,0.2,0.2,0.3,44.8,0.6,Fruits & Produce,15.4,15.4,0.085,0.0,107.6,0.0,0.0,0.3,0.3,0.0,0.1,0.5,0.4,0.4,1.4,0.0,1.6,0.097,78.7,0.4,3.6,85.5,0.8,251.4,745.6,0.064,77.502,True,True,True,False,True,False,True,0.25142857142857145,6.285714285714286,0.009795918367346938,0.04040816326530612
winged beans cooked,253,10.0,1.4,3.7,2.7,25.7,0.0,Fruits & Produce,18.3,0.0,0.4,0.0,115.6,0.0,0.5,0.004,0.0,0.2,1.4,0.3,0.07,0.0,0.0,0.0,0.0,244.2,1.3,7.4,92.9,2.1,263.2,481.6,0.019,2.5,305.6,True,True,True,False,True,False,False,0.2893280632411067,0.0,0.0,0.3557312252964427
pinto beans raw,670,2.4,0.5,0.4,0.8,120.7,4.1,Fruits & Produce,41.3,29.9,0.036,0.0,21.9,0.0,1.4,1.0,0.0,0.4,2.3,1.5,0.9,12.2,0.0,0.4,0.062,218.1,1.7,9.8,339.7,2.2,793.2,2688.5,0.036,4.4,434.4,True,True,True,False,True,False,True,0.24656716417910446,4.462686567164179,0.024477611940298506,0.03223880597014925
black turtle beans raw,624,1.7,0.4,0.1,0.7,116.4,3.9,Fruits & Produce,39.1,28.5,0.041,0.0,20.2,0.0,1.7,0.8,0.0,0.4,3.6,1.7,0.5,0.0,0.0,0.4,0.032,294.4,1.8,16.0,294.4,1.8,809.6,2760.0,0.005,4.0,496.1,True,True,True,False,True,False,True,0.25064102564102564,4.5673076923076925,0.024999999999999998,0.02451923076923077
fava beans raw,512,2.3,0.4,0.5,0.9,87.4,8.6,Fruits & Produce,39.2,37.5,0.1,0.0,16.5,0.0,0.8,0.6,0.0,0.5,4.2,1.5,0.5,2.1,0.0,0.057,0.073,154.5,1.2,10.1,288.0,2.4,631.5,1593.0,0.016,4.7,333.1,True,True,True,False,True,False,True,0.30625,7.32421875,0.0671875,0.0404296875
